No.,Name,Date,Location
401,Plain Pigeon,"Feb. 20th - 27th, 2025",Puerto Rico Tour
400,African Collared-Dove,"Feb. 20th - 27th, 2025",Puerto Rico Tour
399,Key West Quail-Dove,"Feb. 20th - 27th, 2025",Puerto Rico Tour
398,Smooth-billed Ani,"Feb. 20th - 27th, 2025",Puerto Rico Tour
397,Mangrove Cuckoo,"Feb. 20th - 27th, 2025",Puerto Rico Tour
396,Puerto Rican Lizard-Cuckoo,"Feb. 20th - 27th, 2025",Puerto Rico Tour
395,Puerto Rican Nightjar,"Feb. 20th - 27th, 2025",Puerto Rico Tour
394,Puerto Rican Mango,"Feb. 20th - 27th, 2025",Puerto Rico Tour
393,Green Mango,"Feb. 20th - 27th, 2025",Puerto Rico Tour
392,Green-throated Carib,"Feb. 20th - 27th, 2025",Puerto Rico Tour
391,Puerto Rican Emerald,"Feb. 20th - 27th, 2025",Puerto Rico Tour
390,Antillean Crested Hummingbird,"Feb. 20th - 27th, 2025",Puerto Rico Tour
389,Sora,"Feb. 20th - 27th, 2025",Puerto Rico Tour
388,Yellow-breasted Crake,"Feb. 20th - 27th, 2025",Puerto Rico Tour
387,Limpkin,"Feb. 20th - 27th, 2025",Puerto Rico Tour
386,Wilson’s Plover,"Feb. 20th - 27th, 2025",Puerto Rico Tour
385,Lesser Black-backed Gull,"Feb. 20th - 27th, 2025",Puerto Rico Tour
384,Sandwich Tern,"Feb. 20th - 27th, 2025",Puerto Rico Tour
383,Brown Booby,"Feb. 20th - 27th, 2025",Puerto Rico Tour
382,Western Cattle-Egret,"Feb. 20th - 27th, 2025",Puerto Rico Tour
381,Broad-winged Hawk,"Feb. 20th - 27th, 2025",Puerto Rico Tour
380,Puerto Rican Owl,"Feb. 20th - 27th, 2025",Puerto Rico Tour
379,Puerto Rican Tody,"Feb. 20th - 27th, 2025",Puerto Rico Tour
378,Puerto Rican Woodpecker,"Feb. 20th - 27th, 2025",Puerto Rico Tour
377,Caribbean Elaenia,"Feb. 20th - 27th, 2025",Puerto Rico Tour
376,Lesser Antillean Pewee,"Feb. 20th - 27th, 2025",Puerto Rico Tour
375,Puerto Rican Flycatcher,"Feb. 20th - 27th, 2025",Puerto Rico Tour
374,Loggerhead Kingbird,"Feb. 20th - 27th, 2025",Puerto Rico Tour
373,Puerto Rican Vireo,"Feb. 20th - 27th, 2025",Puerto Rico Tour
372,Black-whiskered Vireo,"Feb. 20th - 27th, 2025",Puerto Rico Tour
371,Pearly-eyed Thrasher,"Feb. 20th - 27th, 2025",Puerto Rico Tour
370,Red-legged Thrush,"Feb. 20th - 27th, 2025",Puerto Rico Tour
369,Northern Red Bishop,"Feb. 20th - 27th, 2025",Puerto Rico Tour
368,Indian Silverbill,"Feb. 20th - 27th, 2025",Puerto Rico Tour
367,Scaly-breasted Munia,"Feb. 20th - 27th, 2025",Puerto Rico Tour
366,Orange-cheeked Waxbill,"Feb. 20th - 27th, 2025",Puerto Rico Tour
365,Puerto Rican Euphonia,"Feb. 20th - 27th, 2025",Puerto Rico Tour
364,Grasshopper Sparrow,"Feb. 20th - 27th, 2025",Puerto Rico Tour
363,Puerto Rican Tanager,"Feb. 20th - 27th, 2025",Puerto Rico Tour
362,Puerto Rican Spindalis,"Feb. 20th - 27th, 2025",Puerto Rico Tour
361,Puerto Rican Oriole,"Feb. 20th - 27th, 2025",Puerto Rico Tour
360,Venezuelan Troupial,"Feb. 20th - 27th, 2025",Puerto Rico Tour
359,Yellow-shouldered Blackbird,"Feb. 20th - 27th, 2025",Puerto Rico Tour
358,Shiny Cowbird,"Feb. 20th - 27th, 2025",Puerto Rico Tour
357,Elfin-woods Warbler,"Feb. 20th - 27th, 2025",Puerto Rico Tour
356,Adelaide’s Warbler,"Feb. 20th - 27th, 2025",Puerto Rico Tour
355,Yellow-faced Grassquit,"Feb. 20th - 27th, 2025",Puerto Rico Tour
354,Puerto Rican Bullfinch,"Feb. 20th - 27th, 2025",Puerto Rico Tour
353,Puerto Rican Amazon,"Feb. 20th - 27th, 2025",Puerto Rico Tour
352,Black-faced Grassquit,"Feb. 20th - 27th, 2025",Puerto Rico Tour
351,Helmeted Guineafowl,"Feb. 20th - 27th, 2025",Puerto Rico Tour
350,Caribbean Martin,"Feb. 20th, 2025",Puerto Rico
349,White-tailed Tropicbird,"Feb. 20th, 2025",Puerto Rico
348,Gray Kingbird,"Feb. 20th, 2025",Puerto Rico
347,Magnificent Frigatebird,"Feb. 19th, 2025",Puerto Rico
346,Bananaquit,"Feb. 19th, 2025",Puerto Rico
345,Zenaida Dove,"Feb. 19th, 2025",Puerto Rico
344,Greater Antillean Grackle,"Feb. 19th, 2025",Puerto Rico
343,Indian Peafowl,"Jan. 30th, 2025","Key Biscayne, FL"
342,Muscovy Duck,"Jan. 30th, 2025","Key Biscayne, FL"
341,Sandhill Crane,"Jan. 30th, 2025","Key Biscayne, FL"
340,Yellow-throated Warbler,"Jan. 30th, 2025","Biscayne NP, FL"
339,Royal Tern,"Jan. 30th, 2025","Biscayne NP, FL"
338,Laughing Gull,"Jan. 29th, 2025","Chili’s, FL"
337,White Ibis,"Jan. 28th, 2025","Everglades, FL"
336,Purple Gallinule,"Jan. 28th, 2025","Everglades, FL"
335,Wood Stork,"Jan. 28th, 2025","Everglades, FL"
334,Boat-tailed Grackle,"Jan. 27th, 2025",Somewhere in Florida
333,Tropical Parula,"Jan. 13th, 2025","Laguna Vista, TX"
332,Painted Bunting,"Jan. 13th, 2025","Laguna Vista, TX"
331,Hooded Oriole,"Jan. 13th, 2025","Laguna Vista, TX"
330,Groove-billed Ani,"Jan. 13th, 2025","Laguna Vista, TX"
329,Roseate Spoonbill,"Jan. 13th, 2025","South Padre Island, TX"
328,Black-bellied Whistling-Duck,"Jan. 13th, 2025","South Padre Island, TX"
327,Redhead,"Jan. 13th, 2025","South Padre Island, TX"
326,Tricolored Heron,"Jan. 13th, 2025","South Padre Island, TX"
325,Brown Pelican,"Jan. 13th, 2025","South Padre Island, TX"
324,Common Gallinule,"Jan. 13th, 2025","South Padre Island, TX"
323,Reddish Egret,"Jan. 13th, 2025","South Padre Island, TX"
322,Clapper Rail,"Jan. 13th, 2025","South Padre Island, TX"
321,Black-bellied Plover,"Jan. 13th, 2025","South Padre Island, TX"
320,Vermillion Flycatcher,"Jan. 12th, 2025","Santa Ana NWR, TX"
319,Cinnamon Teal,"Jan. 12th, 2025","Santa Ana NWR, TX"
318,Verdin,"Jan. 12th, 2025","Santa Ana NWR, TX"
317,Black-necked Stilt,"Jan. 11th, 2025","Estero Llano SP, TX"
316,Curve-billed Thrasher,"Jan. 11th, 2025","Estero Llano SP, TX"
315,Loggerhead Shrike,"Jan. 11th, 2025","Estero Llano SP, TX"
314,Cave Swallow,"Jan. 11th, 2025","Estero Llano SP, TX"
313,Common Pauraque,"Jan. 11th, 2025","Estero Llano SP, TX"
312,Common Ground Dove,"Jan. 11th, 2025","Estero Llano SP, TX"
311,White-tailed Kite,"Jan. 11th, 2025","Estero Llano SP, TX"
310,American Avocet,"Jan. 11th, 2025","Estero Llano SP, TX"
309,Yellow-crowned Night Heron,"Jan. 11th, 2025","Estero Llano SP, TX"
308,Long-billed Curlew,"Jan. 11th, 2025","Estero Llano SP, TX"
307,White-eyed Vireo,"Jan. 10th, 2025","National Butterfly Center, TX"
306,Buff-bellied Hummingbird,"Jan. 10th, 2025","National Butterfly Center, TX"
305,Audubon’s Oriole,"Jan. 10th, 2025","Bentsen SP, TX"
304,Inca Dove,"Jan. 10th, 2025","Bentsen SP, TX"
303,Gray Hawk,"Jan. 10th, 2025","Bentsen SP, TX"
302,Clay-colored Thrush,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
301,Olive Sparrow,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
300,Altamira Oriole,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
299,American White Pelican,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
298,Ringed Kingfisher,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
297,Green Kingfisher,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
296,Green Jay,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
295,Golden-fronted Woodpecker,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
294,Anhinga,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
293,Scaled Quail,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
292,Great Kiskadee,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
291,Long-billed Thrasher,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
290,Plain Chachalaca,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
289,Harris’s Hawk,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
288,Red-billed Pigeon,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
287,Black-throated Sparrow,"Jan. 9th, 2025","Santa Margarita Ranch, TX"
286,White-tipped Dove,"Jan. 8th, 2025","McAllen Airport Car Rental Parking Lot, TX"
285,Canyon Wren,"Dec. 27th, 2024","Sedona, AZ"
284,Mountain Chickadee,"Dec. 26th, 2024","Grand Canyon, AZ"
283,Gila Woodpecker,"Dec. 26th, 2024","Sedona, AZ"
282,Bridled Titmouse,"Dec. 26th, 2024","Sedona, AZ"
281,Rock Wren,"Dec. 25th, 2024","Sedona, AZ"
280,Bewick’s Wren,"Dec. 25th, 2024","Sedona, AZ"
279,Bushtit,"Dec. 25th, 2024","Sedona, AZ"
278,White-crowned Sparrow,"Dec. 25th, 2024","Sedona, AZ"
277,Juniper Titmouse,"Dec. 25th, 2024","Sedona, AZ"
276,Woodhouse’s Scrub-Jay,"Dec. 25th, 2024","Sedona, AZ"
275,Red-naped Sapsucker,"Dec. 25th, 2024","Sedona, AZ"
274,Pomarine Jaeger,"Nov. 2nd, 2024","Gloucester Pelagic, MA"
273,Cory’s Shearwater,"Nov. 2nd, 2024","Gloucester Pelagic, MA"
272,Northern Gannet,"Oct. 19th, 2024","Gloucester Pelagic, MA"
271,Black-naped Oriole,"Oct. 1st - 16th, 2024",Vietnam
270,Yellow Bittern,"Oct. 1st - 16th, 2024",Vietnam
269,Asian Openbill,"Oct. 1st - 16th, 2024",Vietnam
268,White-throated Kingfisher,"Oct. 1st - 16th, 2024",Vietnam
267,White-breasted Waterhen,"Oct. 1st - 16th, 2024",Vietnam
266,Eurasian Moorhen,"Oct. 1st - 16th, 2024",Vietnam
265,Eastern Cattle-Egret,"Oct. 1st - 16th, 2024",Vietnam
264,Crimson Sunbird,"Oct. 1st - 16th, 2024",Vietnam
263,Greater Coucal,"Oct. 1st - 16th, 2024",Vietnam
262,Black-crested Bulbul,"Oct. 1st - 16th, 2024",Vietnam
261,Blue Whistling-Thrush,"Oct. 1st - 16th, 2024",Vietnam
260,Scarlet-backed Flowerpecker,"Oct. 1st - 16th, 2024",Vietnam
259,Gray Wagtail,"Oct. 1st - 16th, 2024",Vietnam
258,Common Kingfisher,"Oct. 1st - 16th, 2024",Vietnam
257,White-throated Fantail,"Oct. 1st - 16th, 2024",Vietnam
256,Red-whiskered Bulbul,"Oct. 1st - 16th, 2024",Vietnam
255,Swinhoe’s White-eye,"Oct. 1st - 16th, 2024",Vietnam
254,Eurasian Tree Sparrow,"Oct. 1st - 16th, 2024",Vietnam
253,Oriental Magpie-Robin,"Oct. 1st - 16th, 2024",Vietnam
252,Plain Prinia,"Oct. 1st - 16th, 2024",Vietnam
251,Common Tailorbird,"Oct. 1st - 16th, 2024",Vietnam
250,Yellow-browed Warbler,"Oct. 1st - 16th, 2024",Vietnam
249,Chinese Pond-Heron,"Oct. 1st - 16th, 2024",Vietnam
248,Asian Brown Flycatcher,"Oct. 1st - 16th, 2024",Vietnam
247,Asian Tit,"Oct. 1st - 16th, 2024",Vietnam
246,Red Junglefowl,"Oct. 1st - 16th, 2024",Vietnam
245,Fish Crow,"Sept. 25th, 2024","KOP Shopping Center, PA"
244,Common Nighthawk,"Sept. 22nd, 2024","Wilson Park, MA"
243,Bonaparte’s Gull,"Aug. 10th, 2024","Point of Pines, MA"
242,Semipalmated Plover,"Aug. 3rd, 2024","Parker River NWR, Newbury, MA"
241,Short-billed Dowitcher,"Aug. 3rd, 2024","Parker River NWR, Newbury, MA"
240,Stilt Sandpiper,"Aug. 3rd, 2024","Parker River NWR, Newbury, MA"
239,Anna’s Hummingbird,"Jul. 19th - 21st, 2024","Murrieta, CA"
238,California Quail,"Jul. 19th - 21st, 2024","Murrieta, CA"
237,Phainopepla,"Jul. 19th - 21st, 2024","Murrieta, CA"
236,Western Bluebird,"Jul. 19th - 21st, 2024","Murrieta, CA"
235,Black Phoebe,"Jul. 19th - 21st, 2024","Murrieta, CA"
234,Red-crested Pochard,"Jul. 3rd - 7th, 2024",Switzerland
233,Black Redstart,"Jul. 3rd - 7th, 2024",Switzerland
232,Eurasian Blackbird,"Jul. 3rd - 7th, 2024",Switzerland
231,Carrion Crow,"Jul. 3rd - 7th, 2024",Switzerland
230,White Wagtail,"Jul. 3rd - 7th, 2024",Switzerland
229,Yellow-billed Chough,"Jul. 3rd - 7th, 2024",Switzerland
228,Common Chiffchaff,"Jul. 3rd - 7th, 2024",Switzerland
227,European Goldfinch,"Jul. 3rd - 7th, 2024",Switzerland
226,European Robin,"Jul. 3rd - 7th, 2024",Switzerland
225,Eurasian Blackcap,"Jul. 3rd - 7th, 2024",Switzerland
224,Eurasian Magpie,"Jul. 3rd - 7th, 2024",Switzerland
223,Great Tit,"Jul. 3rd - 7th, 2024",Switzerland
222,European Serin,"Jul. 3rd - 7th, 2024",Switzerland
221,Western House-Martin,"Jul. 3rd - 7th, 2024",Switzerland
220,Red Kite,"Jul. 3rd - 7th, 2024",Switzerland
219,Common Wood-Pigeon,"Jul. 3rd - 7th, 2024",Switzerland
218,Eurasian Kestrel,"Jul. 3rd - 7th, 2024",Switzerland
217,Eurasian Blue Tit,"Jul. 3rd - 7th, 2024",Switzerland
216,Common Buzzard,"Jul. 3rd - 7th, 2024",Switzerland
215,Water Pipit,"Jul. 3rd - 7th, 2024",Switzerland
214,Eurasian Collared-Dove,"Jul. 3rd - 7th, 2024",Switzerland
213,Great Crested Grebe,"Jul. 3rd - 7th, 2024",Switzerland
212,Yellow-legged Gull,"Jul. 3rd - 7th, 2024",Switzerland
211,Black-headed Gull,"Jul. 3rd - 7th, 2024",Switzerland
210,Gray Heron,"Jul. 3rd - 7th, 2024",Switzerland
209,Little Grebe,"Jul. 3rd - 7th, 2024",Switzerland
208,Alpine Swift,"Jul. 3rd - 7th, 2024",Switzerland
207,Eurasian Coot,"Jul. 3rd - 7th, 2024",Switzerland
206,Least Bittern,"Jun. 22nd, 2024","Parker River NWR, Newbury, MA"
205,Common Tern,"Jun. 22nd, 2024","Parker River NWR, Newbury, MA"
204,Purple Martin,"Jun. 22nd, 2024","Parker River NWR, Newbury, MA"
203,Piping Plover,"Jun. 5th, 2024","Revere Beach, MA"
202,Bobolink,"May 26th, 2024","Drumlin Farms, MA"
201,Eastern Wood-Pewee,"May 26th, 2024","Drumlin Farms, MA"
200,Louisiana Waterthrush,"May 19th, 2024","Ripton, VT"
199,American Goshawk,"May 19th, 2024","Ripton, VT"
198,Golden-winged Warbler,"May 18th, 2024","Cram Rd. Powerlines, VT"
197,Blue-winged Warbler,"May 18th, 2024","Cram Rd. Powerlines, VT"
196,Prairie Warbler,"May 18th, 2024","Cram Rd. Powerlines, VT"
195,Blackburnian Warbler,"May 18th, 2024","Goshen, VT"
194,Mourning Warbler,"May 18th, 2024","Goshen, VT"
193,Indigo Bunting,"May 18th, 2024","Goshen, VT"
192,Red Crossbill,"May 18th, 2024","Goshen, VT"
191,Alder Flycatcher,"May 18th, 2024","Goshen, VT"
190,Canada Warbler,"May 18th, 2024","Goshen, VT"
189,Red-eyed Vireo,"May 17th, 2024","Blueberry Hill, VT"
188,Chestnut-sided Warbler,"May 17th, 2024","Blueberry Hill, VT"
187,Chuck-Will’s-Widow,"May 16th, 2024","Esplanade, MA"
186,Blackpoll Warbler,"May 15th, 2024","North Point Park, MA"
185,Least Flycatcher,"May 15th, 2024","North Point Park, MA"
184,Black-throated Blue Warbler,"May 14th, 2024","North Point Park, MA"
183,Wilson's Warbler,"May 12th, 2024","Amory Woods, Brookline, MA"
182,Magnolia Warbler,"May 11th, 2024","Mount Auburn Cemetery, MA"
181,Tennessee Warbler,"May 11th, 2024","Mount Auburn Cemetery, MA"
180,Cape May Warbler,"May 11th, 2024","Mount Auburn Cemetery, MA"
179,Veery,"May 11th, 2024","Mount Auburn Cemetery, MA"
178,American Redstart,"May 11th, 2024","Mount Auburn Cemetery, MA"
177,Bay-breasted Warbler,"May 11th, 2024","Mount Auburn Cemetery, MA"
176,Wood Thrush,"May 7th, 2024","Ipswich River Audubon, MA"
175,Marsh Wren,"May 7th, 2024","Parker River NWR, Newbury, MA"
174,Scarlet Tanager,"May 7th, 2024","Parker River NWR, Newbury, MA"
173,Lesser Yellowlegs,"May 6th, 2024","Belle Isle Marsh, MA"
172,Least Tern,"May 6th, 2024","Belle Isle Marsh, MA"
171,Blue-winged Teal,"May 6th, 2024","Belle Isle Marsh, MA"
170,Willet,"May 6th, 2024","Belle Isle Marsh, MA"
169,Common Raven,"May 5th, 2024","Mount Auburn Cemetery, MA"
168,Black-throated Green Warbler,"May 5th, 2024","Mount Auburn Cemetery, MA"
167,Rose-breasted Grosbeak,"May 5th, 2024","Mount Auburn Cemetery, MA"
166,Great Crested Flycatcher,"May 4th, 2024","Mount Auburn Cemetery, MA"
165,Northern Parula,"May 4th, 2024","Mount Auburn Cemetery, MA"
164,Common Yellowthroat,"May 3rd, 2024","North Point Park, MA"
163,Ovenbird,"Apr. 30th, 2024","North Point Park, MA"
162,Brown Thrasher,"Apr. 30th, 2024","North Point Park, MA"
161,Nashville Warbler,"Apr. 29th, 2024","North Point Park, MA"
160,Warbling Vireo,"Apr. 29th, 2024","North Point Park, MA"
159,Barred Owl,"Apr. 27th, 2024",Horn Pond
158,Northern Waterthrush,"Apr. 26th, 2024","North Point Park, MA"
157,Yellow Warbler,"Apr. 25th, 2024","North Point Park, MA"
156,Eastern Towhee,"Apr. 24th, 2024","Cambridge Crossing, MA"
155,Black-Crowned Night-Heron,"Apr. 22nd, 2024","North Point Park, MA"
154,Glossy Ibis,"Apr. 21st, 2024","Belle Isle Marsh, MA"
153,Northern Rough-winged Swallow,"Apr. 17th, 2024","North Point Park, MA"
152,Chipping Sparrow,"Apr. 14th, 2024","Mount Auburn Cemetery, MA"
151,Tree Swallow,"Apr. 13th, 2024","Belle Isle Marsh, MA"
150,Pine Siskin,"Apr. 6th, 2024","Elizabethtown, NY"
149,Great Cormorant,"Mar. 31st, 2024","Mystic Lakes, MA"
148,Brown-headed Cowbird,"Mar. 30th, 2024","Mount Auburn Cemetery, MA"
147,Red-breasted Nuthatch,"Mar. 15th, 2024","Arnold Arboretum, MA"
146,Merlin,"Mar. 8th, 2024",Tuft’s Park
145,American Woodcock,"Mar. 3rd, 2024","Alewife Brook, MA"
144,White-winged Scoter,"Mar. 3rd, 2024","Belle Isle Marsh, MA"
143,Ruddy Turnstone,"Feb. 24th, 2024","Winthrop Beach, MA"
142,Great Horned Owl,"Feb. 18th, 2024","Belmont Audubon, MA"
141,Eastern Screech-Owl,"Feb. 11th, 2024","Franklin Park, MA"
140,Townsend’s Warbler,"Jan. 23rd, 2024","Alewife Bike Trail, MA"
139,Peregrine Falcon,"Jan. 15th, 2024","Memorial Drive, MA"
138,Short-eared Owl,"Jan. 6th, 2024","Bear Creek, MA"
137,Eastern Meadowlark,"Jan. 6th, 2024","Bear Creek, MA"
136,Horned Lark,"Jan. 6th, 2024","Bear Creek, MA"
135,Red-throated Loon,"Jan. 1st, 2024","Castle Island, MA"
134,Brant,"Jan. 1st, 2024","Castle Island, MA"
133,Barrow’s Goldeneye,"Jan. 1st, 2024","Castle Island, MA"
132,Common Goldeneye,"Jan. 1st, 2024","Castle Island, MA"
131,Semipalmated Sandpiper,"Jan. 1st, 2024","Castle Island, MA"
130,Dunlin,"Jan. 1st, 2024","Castle Island, MA"
129,Purple Sandpiper,"Jan. 1st, 2024","Castle Island, MA"
128,Razorbill,"Jan. 1st, 2024","Castle Island, MA"
127,Purple Finch,"Dec. 31st, 2023","Caratunk Wildlife Refuge, MA"
126,Common Merganser,"Dec. 30th, 2023","Roger Williams Park, RI"
125,Bald Eagle,"Dec. 27th, 2023","Mount Auburn Cemetery, MA"
124,Lesser Goldfinch,"Dec. 20th, 2023","Zilker Park, TX"
123,Neotropic Cormorant,"Dec. 20th, 2023","Zilker Park, TX"
122,Osprey,"Dec. 20th, 2023","Austin, TX"
121,American Kestrel,"Dec. 19th, 2023","Hornsby Bend, TX"
120,Least Grebe,"Dec. 19th, 2023","Hornsby Bend, TX"
119,Northern Shoveler,"Dec. 19th, 2023","Hornsby Bend, TX"
118,House Wren,"Dec. 19th, 2023","Hornsby Bend, TX"
117,American Pipit,"Dec. 19th, 2023","Hornsby Bend, TX"
116,Lincoln’s Sparrow,"Dec. 19th, 2023","Hornsby Bend, TX"
115,Brewer’s Blackbird,"Dec. 19th, 2023","Hornsby Bend, TX"
114,Wilson's Snipe,"Dec. 19th, 2023","Hornsby Bend, TX"
113,Bufflehead,"Dec. 18th, 2023","Austin, TX"
112,Egyptian Goose,"Dec. 18th, 2023","Austin, TX"
111,Red-shouldered Hawk,"Dec. 18th, 2023","Austin, TX"
